"date","breed","searched"
2008-05-01,"Yorkshire Terrier",28.448275862069
2008-05-01,"Pit bull",4.31034482758621
2008-05-01,"Boxer",4.31034482758621
2008-06-01,"Beagle",5.17241379310345
2008-06-01,"Borzoi",5.17241379310345
2008-06-01,"Cane Corso",10.3448275862069
2008-06-01,"Chinese Crested Dog",10.3448275862069
2008-06-01,"Chow Chow",14.6551724137931
2008-06-01,"Welsh Corgi",5.17241379310345
2008-06-01,"Dachshund",18.1034482758621
2008-06-01,"Chihuahua",32.7586206896552
2008-06-01,"French Bulldog",0
2008-06-01,"German Shepherd",49.1379310344828
2008-06-01,"Husky",0
2008-06-01,"Jack Russell Terrier",5.17241379310345
2008-06-01,"Labrador Retriever",27.5862068965517
2008-06-01,"Maltese",5.17241379310345
2008-06-01,"Pomeranian",0
2008-06-01,"Poodle",5.17241379310345
2008-06-01,"Pug",23.2758620689655
2008-06-01,"Shiba Inu",0
2008-06-01,"Spaniel",23.2758620689655
2008-06-01,"St  Bernard",5.17241379310345
2008-06-01,"Staffordshire Bull Terrier",10.3448275862069
2008-06-01,"West Highland White Terrier",0
2008-06-01,"Yorkshire Terrier",27.5862068965517
2008-06-01,"Pit bull",5.17241379310345
2008-06-01,"Boxer",10.3448275862069
2008-07-01,"Beagle",0
2008-07-01,"Borzoi",0
2008-07-01,"Cane Corso",10.3448275862069
2008-07-01,"Chinese Crested Dog",10.3448275862069
2008-07-01,"Chow Chow",4.31034482758621
2008-07-01,"Welsh Corgi",10.3448275862069
2008-07-01,"Dachshund",24.1379310344828
2008-07-01,"Chihuahua",17.2413793103448
2008-07-01,"French Bulldog",17.2413793103448
2008-07-01,"German Shepherd",50
2008-07-01,"Husky",0
2008-07-01,"Jack Russell Terrier",12.0689655172414
2008-07-01,"Labrador Retriever",19.8275862068966
2008-07-01,"Maltese",5.17241379310345
2008-07-01,"Pomeranian",0
2008-07-01,"Poodle",5.17241379310345
2008-07-01,"Pug",19.8275862068966
2008-07-01,"Shiba Inu",0
2008-07-01,"Spaniel",25
2008-07-01,"St  Bernard",0
2008-07-01,"Staffordshire Bull Terrier",5.17241379310345
2008-07-01,"West Highland White Terrier",0
2008-07-01,"Yorkshire Terrier",41.3793103448276
2008-07-01,"Pit bull",5.17241379310345
2008-07-01,"Boxer",9.48275862068965
2008-08-01,"Beagle",10.3448275862069
2008-08-01,"Borzoi",11.2068965517241
2008-08-01,"Cane Corso",12.9310344827586
2008-08-01,"Chinese Crested Dog",6.89655172413793
2008-08-01,"Chow Chow",16.3793103448276
2008-08-01,"Welsh Corgi",5.17241379310345
2008-08-01,"Dachshund",38.7931034482759
2008-08-01,"Chihuahua",31.0344827586207
2008-08-01,"French Bulldog",10.3448275862069
2008-08-01,"German Shepherd",43.9655172413793
2008-08-01,"Husky",5.17241379310345
2008-08-01,"Jack Russell Terrier",0
2008-08-01,"Labrador Retriever",49.1379310344828
2008-08-01,"Maltese",16.3793103448276
2008-08-01,"Pomeranian",5.17241379310345
2008-08-01,"Poodle",7.75862068965517
2008-08-01,"Pug",23.2758620689655
2008-08-01,"Shiba Inu",5.17241379310345
2008-08-01,"Spaniel",25.8620689655172
2008-08-01,"St  Bernard",7.75862068965517
2008-08-01,"Staffordshire Bull Terrier",12.9310344827586
2008-08-01,"West Highland White Terrier",5.17241379310345
2008-08-01,"Yorkshire Terrier",27.5862068965517
2008-08-01,"Pit bull",5.17241379310345
2008-08-01,"Boxer",15.5172413793103
2008-09-01,"Beagle",4.31034482758621
2008-09-01,"Borzoi",0
2008-09-01,"Cane Corso",11.2068965517241
2008-09-01,"Chinese Crested Dog",4.31034482758621
2008-09-01,"Chow Chow",4.31034482758621
2008-09-01,"Welsh Corgi",4.31034482758621
2008-09-01,"Dachshund",37.9310344827586
2008-09-01,"Chihuahua",37.9310344827586
2008-09-01,"French Bulldog",12.9310344827586
2008-09-01,"German Shepherd",37.9310344827586
2008-09-01,"Husky",6.03448275862069
2008-09-01,"Jack Russell Terrier",8.62068965517241
2008-09-01,"Labrador Retriever",25
2008-09-01,"Maltese",4.31034482758621
2008-09-01,"Pomeranian",7.75862068965517
2008-09-01,"Poodle",7.75862068965517
2008-09-01,"Pug",30.1724137931034
2008-09-01,"Shiba Inu",0
2008-09-01,"Spaniel",27.5862068965517
2008-09-01,"St  Bernard",6.03448275862069
2008-09-01,"Staffordshire Bull Terrier",12.0689655172414
2008-09-01,"West Highland White Terrier",4.31034482758621
2008-09-01,"Yorkshire Terrier",41.3793103448276
2008-09-01,"Pit bull",0
