"date","iran_non.iran"
"2019-05-23",180
"2019-05-22",160
"2019-05-21",168
"2019-05-20",138
"2019-05-19",159
"2019-05-18",152
"2019-05-17",155
"2019-05-16",148
"2019-05-15",159
"2019-05-14",159
"2019-05-13",147
"2019-05-12",166
"2019-05-11",156
"2019-05-10",170
"2019-05-09",151
"2019-05-08",159
"2019-05-07",166
"2019-05-06",141
"2019-05-05",186
"2019-05-04",175
"2019-05-03",175
"2019-05-02",190
"2019-05-01",183
"2019-04-30",188
"2019-04-29",160
"2019-04-28",182
"2019-04-27",178
"2019-04-26",177
"2019-04-25",168
"2019-04-24",164
"2019-04-23",179
"2019-04-22",175
"2019-04-21",199
"2019-04-20",173
"2019-04-19",177
"2019-04-18",177
"2019-04-17",186
"2019-04-16",181
"2019-04-15",152
"2019-04-14",173
"2019-04-13",170
"2019-04-12",169
"2019-04-11",169
"2019-04-10",180
"2019-04-09",181
"2019-04-08",154
"2019-04-07",180
"2019-04-06",166
"2019-04-05",194
"2019-04-04",233
"2019-04-03",204
"2019-04-02",215
"2019-04-01",202
"2019-03-31",236
"2019-03-30",183
"2019-03-29",210
"2019-03-28",210
"2019-03-27",207
"2019-03-26",220
"2019-03-25",209
"2019-03-24",197
"2019-03-23",181
"2019-03-22",209
"2019-03-21",212
"2019-03-20",215
"2019-03-19",222
"2019-03-18",207
"2019-03-17",191
"2019-03-16",178
"2019-03-15",181
"2019-03-14",185
"2019-03-13",186
"2019-03-12",180
"2019-03-11",174
"2019-03-10",172
"2019-03-09",165
"2019-03-08",169
"2019-03-07",174
"2019-03-06",177
"2019-03-05",165
"2019-03-04",163
"2019-03-03",161
"2019-03-02",152
"2019-03-01",157
"2019-02-28",163
"2019-02-27",169
"2019-02-26",164
"2019-02-25",162
"2019-02-24",180
"2019-02-23",159
"2019-02-22",175
"2019-02-21",176
"2019-02-20",177
"2019-02-19",159
"2019-02-18",167
"2019-02-17",178
"2019-02-16",162
"2019-02-15",177
"2019-02-14",182
"2019-02-13",178
"2019-02-12",185
"2019-02-11",189
"2019-02-10",142
"2019-02-09",165
"2019-02-08",159
"2019-02-07",179
"2019-02-06",178
"2019-02-05",172
"2019-02-04",166
"2019-02-03",172
"2019-02-02",169
"2019-02-01",153
"2019-01-31",166
"2019-01-30",175
"2019-01-29",173
"2019-01-28",154
"2019-01-27",159
"2019-01-26",152
"2019-01-25",141
"2019-01-24",153
"2019-01-23",179
"2019-01-22",163
"2019-01-21",157
"2019-01-20",171
"2019-01-19",164
"2019-01-18",167
"2019-01-17",164
"2019-01-16",175
"2019-01-15",166
"2019-01-14",173
"2019-01-13",197
"2019-01-12",170
"2019-01-11",168
"2019-01-10",148
"2019-01-09",176
"2019-01-08",175
"2019-01-07",166
"2019-01-06",184
"2019-01-05",175
"2019-01-04",165
"2019-01-03",145
"2019-01-02",165
"2019-01-01",185
